x,y
6.721717032,127.0626358
6.574376998,118.4775608
3.462187668,30.34962773
4.730926948,75.39764113
4.448219259,60.28810255
6.178200618,119.2130629
3.91088158,43.5435173
4.513351736,50.93407997
4.300679297,54.6431796
4.695740982,72.3404659
4.622837075,59.56993558
3.5850317,46.71456362
5.981456391,111.5086271
5.238069256,75.82878022
5.653534365,99.45689552
6.818205707,135.8096019
5.941586105,96.3668145
4.367474197,59.25989305
4.925283923,98.92250846
4.799905323,72.37654095
5.503731267,89.07307162
4.616761667,79.82241443
5.720644272,116.1102761
4.082380229,66.97415699
3.967792976,42.3097276
5.89469139,104.4465322
4.394999206,69.11634948
3.995656491,54.73200192
3.962557009,59.41980374
5.329328377,92.71107267
4.293892135,45.71551514
5.431099856,106.7465355
4.972413575,74.69150247
4.207533557,43.67666241
5.580378388,85.72484668
4.143183738,52.97759386
5.022058971,50.59286185
6.777221056,140.8736288
5.330690901,72.9461473
4.421009079,59.96922854
6.058305564,117.6747383
4.56606714,74.50603819
5.313511721,83.24319828
6.297612981,117.2324511
4.119175546,48.54310167
5.573640595,99.5657751
5.290434715,86.48397967
4.517718628,53.60678773
5.440795091,98.27206126
5.150090991,75.61506017
4.205284357,53.85608853
6.415790632,115.0497043
3.818753931,32.37096726
4.791988536,73.86393504
3.971442304,56.05580554
6.215203297,129.2744165
5.372161607,67.54228767
6.835008742,140.6854081
4.470454944,61.89803993
5.147120115,85.37427018
5.805787376,102.0409944
5.954935957,117.2236632
3.930403861,54.00964845
4.566494101,68.51877545
3.586557813,41.82572226
2.989221866,9.744983807
4.969427511,78.05188531
5.405634697,86.9274219
4.150668432,61.92320393
2.58817446,17.10766081
2.489421461,20.91303466
4.005056173,58.41275096
3.709162061,48.74791445
4.093003129,70.35670788
3.721840446,52.11552733
5.295665373,70.97339266
4.228513584,58.89001449
5.633383708,92.13866461
3.544050572,27.95761057
5.130527695,68.8550515
4.615350494,78.48137568
3.199692272,27.62790198
5.563228617,90.81210167
4.226466742,36.79148913
4.55016015,61.42250725
4.712628969,69.13468414
7.155632671,167.1996553
6.389283888,122.4191832
3.479826129,35.57286939
5.424595246,88.0372963
5.273927301,90.03476212
5.29661195,85.79625007
3.414744989,56.80901631
4.072253334,50.73853914
4.858788116,65.67904243
3.833114186,35.99372529
3.99649914,51.9745146
7.041459012,162.286268
4.431640096,65.14172861
5.433277511,84.70826824
4.26529608,57.77692695
4.791559214,64.94854584
6.88418189,143.091624
4.727254685,64.46107373
5.375339373,83.84306251
5.046441838,74.68997965
3.606046237,45.20297051
5.818156054,98.04168234
4.166228724,69.99064653
5.789406963,91.37652033
4.576372666,64.33424068
4.312567379,66.23457099
5.429415327,89.35475489
4.379608248,67.32457545
4.796961981,65.07476522
5.682311285,97.72927608
4.54445318,47.84845156
4.750478827,78.75449829
5.205356444,82.00847983
4.671416331,74.70013562
3.734006576,42.73569846
1.948396717,5.063386848
4.646910984,50.14130545
4.170097396,68.59866958
4.95032442,52.0591119
5.237341807,86.31443679
3.947315545,46.9492469
4.579315068,59.7892487
6.326028013,115.0544908
5.917449193,84.43544135
3.808372434,47.9329536
8.141587424,193.207735
6.432601068,110.5729004
5.004068154,72.75558239
4.521205935,63.52387859
2.844742446,27.8210967
5.744910174,114.6211075
5.547738737,77.76436267
5.58944193,106.6633812
6.224548867,110.1714577
6.481579915,109.3563334
5.879026758,92.88779915
4.580200722,69.86699377
3.898687316,52.35399357
4.678985675,77.08261351
4.4236446,80.48462939
5.694728842,104.3174912
4.532333826,77.26064862
2.576335489,20.89443503
5.237173716,106.0210358
4.807016267,78.58361081
5.037274464,70.68558068
3.957224662,44.78887613
5.439333378,99.04071909
4.827726667,88.74680199
4.000120644,49.95831123
5.660640805,111.4160411
4.408439041,67.59454511
5.050042095,78.39133726
